Conventions,G,BADC-CSV,1
title,G,uk-hourly-rain-obs
source,G,Met Office MIDAS database
creator,G,Met Office
activity,G,Met Office MIDAS Open: UK Land Surface Stations Data
feature_type,G,point series
collection_name,G,midas-open
collection_version_number,G,dataset-version-202308
history,G,Created 2023-08-22
last_revised_date,G,2023-08-22
observation_station,G,heathrow
historic_county_name,G,greater-london
midas_station_id,G,00708
location,G,51.479,-0.451
height,G,25,m
date_valid,G,2021-01-01 00:00:00,2021-12-31 23:59:59
midas_qc_version_number,G,1
comments,G,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
comments,G,This file contains station observations
comments,G,missing values are identified with the missing data flag
missing_value,G,NA
coordinate_variable,ob_end_time,t
long_name,ob_end_time,Date at end of observation period,s
type,ob_end_time,char
comments,ob_end_time,Date and time (YYYY-MM-DD HH:MM:SS) at the end of the observation period
long_name,id,station identifier,1
type,id,char
comments,id,a station may have more than one id assigned to it designated by the id_type
long_name,id_type,identifier type,1
type,id_type,char
comments,id_type,a station may have more than one id assigned to it defined by id_type
long_name,ob_hour_count,Observation hour count,hours
type,ob_hour_count,int
long_name,version_num,midas qc version number,1
type,version_num,int
comments,version_num,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
long_name,met_domain_name,message type,1
type,met_domain_name,char
comments,met_domain_name,message type (see MIDAS documentation)
long_name,src_id,unique source identifier or station site number,1
type,src_id,int
comments,src_id,unique source identifier or station site number
long_name,rec_st_ind,state indicator for the record,1
type,rec_st_ind,int
comments,rec_st_ind,state indicator for the current stage in the life of the record (see MIDAS documentation)
long_name,prcp_amt,Precipitation amount,mm
type,prcp_amt,float
long_name,prcp_dur,Precipitation duration ,minutes
type,prcp_dur,int
long_name,prcp_amt_q,QC code: precipitation amount,1
type,prcp_amt_q,int
long_name,prcp_dur_q,QC code: precipitation duration,1
type,prcp_dur_q,int
long_name,prcp_amt_j,Descriptor: precipitation amount,1
type,prcp_amt_j,int
long_name,meto_stmp_time,Met Office receipt stamp time,s
type,meto_stmp_time,char
comments,meto_stmp_time,Met Office receipt stampe time in format (YYYY-MM-DD HH:MM:SS)
long_name,midas_stmp_etime,Elapsed time to storage in MIDAS ,minutes
type,midas_stmp_etime,int
data
ob_end_time,id,id_type,ob_hour_count,version_num,met_domain_name,src_id,rec_st_ind,prcp_amt,prcp_dur,prcp_amt_q,prcp_dur_q,prcp_amt_j,meto_stmp_time,midas_stmp_etime
2021-01-01 00:00:00,247539,RAIN,1,1,SREW,708,1011,0.0,NA,1,NA,NA,2020-12-31 23:51:00,0.0
2021-01-01 01:00:00,247539,RAIN,1,1,SREW,708,1011,0.0,NA,1,NA,NA,2021-01-01 00:51:00,0.0
2021-01-01 02:00:00,247539,RAIN,1,1,SREW,708,1011,0.0,NA,1,NA,NA,2021-01-01 01:52:00,0.0
2021-01-01 03:00:00,247539,RAIN,1,1,SREW,708,1011,0.0,NA,1,NA,NA,2021-01-01 02:51:00,0.0
2021-01-01 04:00:00,247539,RAIN,1,1,SREW,708,1011,0.0,NA,1,NA,NA,2021-01-01 03:51:00,0.0
2021-01-01 05:00:00,247539,RAIN,1,1,SREW,708,1011,0.0,NA,1,NA,NA,2021-01-01 04:51:00,0.0
2021-01-01 06:00:00,247539,RAIN,1,1,SREW,708,1011,0.0,NA,1,NA,NA,2021-01-01 05:52:00,0.0
2021-01-01 07:00:00,247539,RAIN,1,1,SREW,708,1011,0.0,NA,1,NA,NA,2021-01-01 06:52:00,0.0
2021-01-01 08:00:00,247539,RAIN,1,1,SREW,708,1011,0.0,NA,1,NA,NA,2021-01-01 07:52:00,0.0
2021-01-01 09:00:00,247539,RAIN,12,1,NCM,708,1011,0.0,NA,6,NA,NA,2021-01-01 09:01:00,0.0
2021-01-01 09:00:00,247539,RAIN,1,1,SREW,708,1011,0.0,NA,1,NA,NA,2021-01-01 09:01:00,0.0
2021-01-01 10:00:00,247539,RAIN,1,1,SREW,708,1011,0.0,NA,1,NA,NA,2021-01-01 09:51:00,0.0
2021-01-01 11:00:00,247539,RAIN,1,1,SREW,708,1011,0.0,NA,10001,NA,NA,2021-01-01 10:51:00,0.0
2021-01-01 12:00:00,247539,RAIN,1,1,SREW,708,1011,0.0,NA,10001,NA,NA,2021-01-01 11:51:00,0.0
2021-01-01 13:00:00,247539,RAIN,1,1,SREW,708,1011,0.0,NA,10001,NA,NA,2021-01-01 12:52:00,0.0
2021-01-01 14:00:00,247539,RAIN,1,1,SREW,708,1011,0.2,NA,1,NA,NA,2021-01-01 13:52:00,0.0
2021-01-01 15:00:00,247539,RAIN,1,1,SREW,708,1011,0.0,NA,10001,NA,NA,2021-01-01 14:52:00,0.0
2021-01-01 16:00:00,247539,RAIN,1,1,SREW,708,1011,0.0,NA,1,NA,NA,2021-01-01 15:51:00,0.0
